,Dockerins,Cohesins
106_bin103,0.0,0.0
106_bin52,0.0,0.0
102_bin56,1.0,0.0
104_bin169,0.0,0.0
106_bin39,0.0,0.0
105_bin77,0.0,0.0
101B_bin84,0.0,0.0
106_bin94,0.0,0.0
101B_bin91,27.0,5.0
105_bin19,0.0,0.0
103_bin67,1.0,0.0
105_bin64,0.0,0.0
105_bin148,0.0,0.0
102_bin14,1.0,0.0
102_bin1,0.0,0.0
103_bin114,0.0,0.0
104_bin115,0.0,0.0
103_bin94,0.0,0.0
104_bin102,0.0,0.0
104_bin106,0.0,0.0
106_bin40,0.0,0.0
103_bin37,0.0,0.0
106_bin16,0.0,0.0
106_bin111,1.0,0.0
105_bin10,0.0,0.0
102_bin66,0.0,0.0
105_bin38,0.0,0.0
102_bin4,0.0,0.0
102_bin76,0.0,0.0
105_bin67,0.0,0.0
106_bin108,0.0,0.0
106_bin41,0.0,0.0
102_bin9,0.0,0.0
106_bin82,0.0,0.0
104_bin36,0.0,0.0
106_bin21,0.0,0.0
104_bin118,0.0,0.0
105_bin107,0.0,0.0
102_bin60,0.0,0.0
104_bin27,0.0,0.0
103_bin120,0.0,0.0
106_bin57,0.0,0.0
105_bin43,0.0,0.0
105_bin65,0.0,0.0
105_bin34,0.0,0.0
101B_bin80,0.0,0.0
102_bin37,1.0,0.0
105_bin16,0.0,0.0
105_bin7,15.0,0.0
101B_bin22,12.0,0.0
102_bin22,6.0,0.0
105_bin129,7.0,0.0
105_bin58,0.0,0.0
105_bin68,0.0,0.0
105_bin119,1.0,0.0
104_bin168,4.0,0.0
105_bin99,0.0,0.0
101B_bin72,0.0,0.0
104_bin35,0.0,0.0
104_bin3,5.0,0.0
106_bin81,6.0,0.0
106_bin63,0.0,0.0
106_bin20,0.0,0.0
101B_bin97,0.0,0.0
106_bin29,0.0,0.0
103_bin35,0.0,0.0
102_bin50,0.0,0.0
106_bin101,0.0,0.0
105_bin127,0.0,0.0
104_bin121,0.0,0.0
105_bin29,0.0,0.0
104_bin41,0.0,0.0
106_bin73,0.0,0.0
105_bin69,0.0,0.0
106_bin5,0.0,0.0
105_bin24,0.0,0.0
105_bin84,0.0,0.0
105_bin46,0.0,0.0
106_bin99,0.0,0.0
106_bin19,0.0,0.0
102_bin71,0.0,0.0
103_bin11,0.0,0.0
105_bin147,0.0,0.0
101B_bin82,0.0,0.0
106_bin71,0.0,0.0
105_bin118,0.0,0.0
104_bin112,0.0,0.0
103_bin60,0.0,0.0
106_bin66,0.0,0.0
106_bin109,0.0,0.0
105_bin96,0.0,0.0
106_bin54,0.0,0.0
106_bin13,0.0,0.0
105_bin31,0.0,0.0
106_bin32,0.0,0.0
105_bin109,0.0,0.0
106_bin50,0.0,0.0
101B_bin89,0.0,0.0
104_bin48,0.0,0.0
